id_a,character_a,id_b,character_b,similarity,collision_risk,recommended_fix
b2-maple,梅普露,godie-u01u,索隆,0.0482,acceptable,
godie-efur,揍敵客大家長－揍敵客桀諾,godie-hvwd,桔梗,0.0482,acceptable,
b2-elma,艾爾瑪,godie-e00k,安云,0.0481,acceptable,
b2-kumoko,蜘蛛子,b2-luckyman,幸運超人,0.0481,acceptable,
b2-orphen,歐菲,godie-e008,夏娜,0.0481,acceptable,
community-review-37-20260907,吉伊卡哇,godie-h02r,妙蛙花,0.0480,acceptable,
godie-e00k,安云,godie-ubal,巴恩大魔王,0.0480,acceptable,
b2-luckyman,幸運超人,community-review-32-20260907,阿薩謝爾,0.0479,acceptable,
b2-matthias,馬提亞斯,community-review-17-20260907,安茲·烏爾·恭,0.0479,acceptable,
community-review-19-20260907,桐谷和人,godie-n01c,勇者小呆,0.0478,acceptable,
godie-e002,Saber,godie-zombiex,聖杯黑泥醬－喪標麥可,0.0478,acceptable,
b2-elma,艾爾瑪,godie-orkn,臭作,0.0477,acceptable,
godie-e007,天地志狼,godie-etyr,木乃香,0.0477,acceptable,
godie-e00w,櫻綻剎那,godie-n00b,哆拉A夢,0.0477,acceptable,
godie-emns,夜神月,godie-hblm,慈悲的王者－賈修貝爾,0.0477,acceptable,
community-review-01-20260907,武藤遊戲,godie-e002,Saber,0.0476,acceptable,
community-review-33-20260907,近衛刀太,godie-zombiex,聖杯黑泥醬－喪標麥可,0.0475,acceptable,
community-review-15-20260907,比利海靈頓,godie-hblm,慈悲的王者－賈修貝爾,0.0474,acceptable,
community-review-17-20260907,安茲·烏爾·恭,godie-u01u,索隆,0.0474,acceptable,
community-review-33-20260907,近衛刀太,godie-hart,克勞德,0.0474,acceptable,
b2-elma,艾爾瑪,community-review-32-20260907,阿薩謝爾,0.0473,acceptable,
b2-kumoko,蜘蛛子,community-review-17-20260907,安茲·烏爾·恭,0.0472,acceptable,
community-review-30-20260907,尼古貓貓,godie-h01u,呂布奉先,0.0472,acceptable,
godie-huth,魔人普烏,godie-ofar,皮卡丘,0.0472,acceptable,
b2-uncle,異世界舅舅,community-review-37-20260907,吉伊卡哇,0.0471,acceptable,
godie-e001,龍宮禮奈,godie-e007,天地志狼,0.0470,acceptable,
b2-bojji,波吉,b2-maple,梅普露,0.0469,acceptable,
b2-nube,鵺野鳴介,godie-u00k,死之王,0.0468,acceptable,
community-review-05-20260907,洛克人,community-review-15-20260907,比利海靈頓,0.0468,acceptable,
community-review-18-20260907,吉爾伽美什,community-review-20-20260907,御坂美琴,0.0467,acceptable,
b2-popp,何布,godie-u01u,索隆,0.0466,acceptable,
godie-n00b,哆拉A夢,godie-zombiex,聖杯黑泥醬－喪標麥可,0.0465,acceptable,
community-review-13-20260907,朝田詩乃,godie-h02r,妙蛙花,0.0464,acceptable,
godie-h02r,妙蛙花,godie-hvwd,桔梗,0.0464,acceptable,
godie-u00l,拳四郎,godie-ubal,巴恩大魔王,0.0464,acceptable,
godie-e00w,櫻綻剎那,godie-h02r,妙蛙花,0.0463,acceptable,
godie-emns,夜神月,godie-n00b,哆拉A夢,0.0463,acceptable,
b2-matthias,馬提亞斯,godie-ogld,黑人牙膏,0.0461,acceptable,
b2-zenitsu,我妻善逸,godie-efur,揍敵客大家長－揍敵客桀諾,0.0461,acceptable,
godie-e007,天地志狼,godie-u01u,索隆,0.0461,acceptable,
community-review-24-20260907,奇犽,godie-u01u,索隆,0.0459,acceptable,
community-review-13-20260907,朝田詩乃,godie-huth,魔人普烏,0.0458,acceptable,
community-review-33-20260907,近衛刀太,godie-osam,殺生丸,0.0458,acceptable,
godie-e001,龍宮禮奈,godie-efur,揍敵客大家長－揍敵客桀諾,0.0457,acceptable,
godie-e001,龍宮禮奈,godie-osam,殺生丸,0.0457,acceptable,
godie-h02r,妙蛙花,godie-hpal,藤井八雲,0.0457,acceptable,
community-review-23-20260907,坂田銀時,godie-e001,龍宮禮奈,0.0456,acceptable,
b2-goblin,哥布林殺手,godie-nplh,麻倉葉,0.0453,acceptable,
b2-matthias,馬提亞斯,community-review-04-20260907,空條承太郎,0.0453,acceptable,
b2-elma,艾爾瑪,community-review-25-20260907,一拳超人,0.0452,acceptable,
godie-e001,龍宮禮奈,godie-emns,夜神月,0.0452,acceptable,
godie-ogld,黑人牙膏,godie-u010,飛影,0.0452,acceptable,
godie-e00r,初號機,godie-hvwd,桔梗,0.0447,acceptable,
community-review-04-20260907,空條承太郎,community-review-32-20260907,阿薩謝爾,0.0446,acceptable,
community-review-03-20260907,不知火舞,community-review-04-20260907,空條承太郎,0.0444,acceptable,
community-review-37-20260907,吉伊卡哇,godie-e00r,初號機,0.0444,acceptable,
b2-boxxo,阿箱＋拉蜜絲,godie-hvsh,Rider,0.0443,acceptable,
godie-h020,莉娜因巴斯,godie-ubal,巴恩大魔王,0.0443,acceptable,
godie-h02k,熊貓,godie-osam,殺生丸,0.0443,acceptable,
godie-o00x,悟空,godie-ofar,皮卡丘,0.0443,acceptable,
b2-bojji,波吉,b2-matthias,馬提亞斯,0.0442,acceptable,
godie-h01u,呂布奉先,godie-h02u,草泥馬,0.0441,acceptable,
godie-o00x,悟空,godie-osam,殺生丸,0.0441,acceptable,
b2-elma,艾爾瑪,b2-luckyman,幸運超人,0.0440,acceptable,
b2-uncle,異世界舅舅,godie-e00w,櫻綻剎那,0.0440,acceptable,
godie-e001,龍宮禮奈,godie-orkn,臭作,0.0440,acceptable,
godie-h00l,林克,godie-nplh,麻倉葉,0.0440,acceptable,
b2-nube,鵺野鳴介,community-review-17-20260907,安茲·烏爾·恭,0.0439,acceptable,
community-review-15-20260907,比利海靈頓,community-review-37-20260907,吉伊卡哇,0.0439,acceptable,
godie-hapm,Berserker,godie-hpb1,蒼月潮,0.0439,acceptable,
community-review-17-20260907,安茲·烏爾·恭,community-review-27-20260907,庫洛魔法使,0.0438,acceptable,
community-review-23-20260907,坂田銀時,godie-efur,揍敵客大家長－揍敵客桀諾,0.0438,acceptable,
godie-hapm,Berserker,godie-hart,克勞德,0.0438,acceptable,
b2-luckyman,幸運超人,godie-ofar,皮卡丘,0.0437,acceptable,
community-review-04-20260907,空條承太郎,community-review-33-20260907,近衛刀太,0.0437,acceptable,
community-review-15-20260907,比利海靈頓,community-review-32-20260907,阿薩謝爾,0.0436,acceptable,
community-review-22-20260907,菜月昴,godie-ogld,黑人牙膏,0.0436,acceptable,
community-review-33-20260907,近衛刀太,godie-orkn,臭作,0.0435,acceptable,
godie-h01n,黑崎一護,godie-h02r,妙蛙花,0.0435,acceptable,
community-review-08-20260907,米卡莎,godie-ofar,皮卡丘,0.0434,acceptable,
godie-e00r,初號機,godie-emfr,涅吉,0.0434,acceptable,
b2-haga,羽賀,community-review-27-20260907,庫洛魔法使,0.0433,acceptable,
b2-nube,鵺野鳴介,godie-o02p,初音,0.0433,acceptable,
b2-rin,遠坂凜,community-review-02-20260907,八神庵,0.0433,acceptable,
b2-sinbad,辛巴達,godie-e002,Saber,0.0433,acceptable,
community-review-05-20260907,洛克人,godie-ubal,巴恩大魔王,0.0432,acceptable,
community-review-25-20260907,一拳超人,godie-u00k,死之王,0.0432,acceptable,
godie-etyr,木乃香,godie-u01u,索隆,0.0432,acceptable,
community-review-04-20260907,空條承太郎,community-review-16-20260907,魔法少女☆伊莉雅,0.0430,acceptable,
community-review-23-20260907,坂田銀時,godie-h00l,林克,0.0430,acceptable,
b2-sinbad,辛巴達,godie-ogld,黑人牙膏,0.0429,acceptable,
community-review-37-20260907,吉伊卡哇,godie-h02u,草泥馬,0.0429,acceptable,
b2-uncle,異世界舅舅,godie-n00b,哆拉A夢,0.0428,acceptable,
community-review-15-20260907,比利海靈頓,community-review-17-20260907,安茲·烏爾·恭,0.0427,acceptable,
b2-popp,何布,community-review-05-20260907,洛克人,0.0426,acceptable,
b2-popp,何布,godie-h02k,熊貓,0.0425,acceptable,
community-review-02-20260907,八神庵,godie-udea,飛鼠先生,0.0425,acceptable,
community-review-25-20260907,一拳超人,godie-zombiex,聖杯黑泥醬－喪標麥可,0.0424,acceptable,
b2-boxxo,阿箱＋拉蜜絲,community-review-17-20260907,安茲·烏爾·恭,0.0423,acceptable,
b2-luckyman,幸運超人,godie-orkn,臭作,0.0423,acceptable,
godie-h01n,黑崎一護,godie-ofar,皮卡丘,0.0423,acceptable,
godie-h01n,黑崎一護,godie-h02u,草泥馬,0.0422,acceptable,
b2-rin,遠坂凜,godie-orkn,臭作,0.0421,acceptable,
community-review-05-20260907,洛克人,godie-hapm,Berserker,0.0421,acceptable,
b2-guts,凱茲,community-review-37-20260907,吉伊卡哇,0.0420,acceptable,
community-review-05-20260907,洛克人,godie-hvsh,Rider,0.0420,acceptable,
b2-guts,凱茲,godie-o00l,傑洛士,0.0419,acceptable,
community-review-27-20260907,庫洛魔法使,godie-o02p,初音,0.0419,acceptable,
community-review-03-20260907,不知火舞,godie-orkn,臭作,0.0418,acceptable,
community-review-23-20260907,坂田銀時,godie-o02p,初音,0.0418,acceptable,
community-review-18-20260907,吉爾伽美什,godie-ofar,皮卡丘,0.0416,acceptable,
b2-kumoko,蜘蛛子,godie-zombiex,聖杯黑泥醬－喪標麥可,0.0415,acceptable,
godie-hapm,Berserker,godie-u00k,死之王,0.0414,acceptable,
godie-etyr,木乃香,godie-orkn,臭作,0.0413,acceptable,
b2-rin,遠坂凜,godie-emns,夜神月,0.0412,acceptable,
godie-h02r,妙蛙花,godie-huth,魔人普烏,0.0412,acceptable,
godie-h02u,草泥馬,godie-n003,依文潔琳,0.0412,acceptable,
godie-n01c,勇者小呆,godie-osam,殺生丸,0.0412,acceptable,
b2-kumoko,蜘蛛子,community-review-04-20260907,空條承太郎,0.0411,acceptable,
godie-hvwd,桔梗,godie-u010,飛影,0.0410,acceptable,
b2-sinbad,辛巴達,godie-n00b,哆拉A夢,0.0409,acceptable,
community-review-02-20260907,八神庵,community-review-05-20260907,洛克人,0.0409,acceptable,
godie-h02u,草泥馬,godie-hvwd,桔梗,0.0409,acceptable,
b2-uncle,異世界舅舅,godie-hvsh,Rider,0.0408,acceptable,
community-review-04-20260907,空條承太郎,godie-e00k,安云,0.0408,acceptable,
community-review-20-20260907,御坂美琴,godie-h00l,林克,0.0408,acceptable,
godie-e00w,櫻綻剎那,godie-h02u,草泥馬,0.0407,acceptable,
b2-boxxo,阿箱＋拉蜜絲,godie-ogld,黑人牙膏,0.0406,acceptable,
b2-elma,艾爾瑪,godie-ogld,黑人牙膏,0.0406,acceptable,
godie-e00r,初號機,godie-e00w,櫻綻剎那,0.0405,acceptable,
godie-e00w,櫻綻剎那,godie-h02k,熊貓,0.0405,acceptable,
godie-e008,夏娜,godie-n00p,南野秀一,0.0404,acceptable,
b2-kumoko,蜘蛛子,godie-e007,天地志狼,0.0403,acceptable,
b2-elma,艾爾瑪,community-review-01-20260907,武藤遊戲,0.0402,acceptable,
b2-popp,何布,community-review-15-20260907,比利海靈頓,0.0402,acceptable,
godie-e002,Saber,godie-h01u,呂布奉先,0.0401,acceptable,
b2-luckyman,幸運超人,community-review-15-20260907,比利海靈頓,0.0400,acceptable,
b2-popp,何布,godie-n00b,哆拉A夢,0.0400,acceptable,
godie-e001,龍宮禮奈,godie-u00v,基廉列克,0.0400,acceptable,
b2-takopi,章魚嗶,community-review-04-20260907,空條承太郎,0.0399,acceptable,
b2-rem,蕾姆,godie-ogld,黑人牙膏,0.0398,acceptable,
community-review-05-20260907,洛克人,community-review-12-20260907,衛宮士郎,0.0397,acceptable,
b2-sinbad,辛巴達,godie-u01u,索隆,0.0396,acceptable,
godie-ofar,皮卡丘,godie-u00n,蒙其.D.魯夫,0.0396,acceptable,
b2-goblin,哥布林殺手,godie-zombiex,聖杯黑泥醬－喪標麥可,0.0394,acceptable,
b2-matthias,馬提亞斯,b2-uncle,異世界舅舅,0.0394,acceptable,
b2-popp,何布,godie-zombiex,聖杯黑泥醬－喪標麥可,0.0394,acceptable,
b2-elma,艾爾瑪,godie-n00b,哆拉A夢,0.0393,acceptable,
b2-touka,托卡・史考特,godie-ogld,黑人牙膏,0.0393,acceptable,
godie-hapm,Berserker,godie-hblm,慈悲的王者－賈修貝爾,0.0393,acceptable,
godie-n003,依文潔琳,godie-o02p,初音,0.0391,acceptable,
b2-takopi,章魚嗶,community-review-17-20260907,安茲·烏爾·恭,0.0390,acceptable,
b2-goblin,哥布林殺手,godie-n01c,勇者小呆,0.0389,acceptable,
community-review-27-20260907,庫洛魔法使,godie-o00l,傑洛士,0.0389,acceptable,
b2-haga,羽賀,godie-e001,龍宮禮奈,0.0388,acceptable,
community-review-03-20260907,不知火舞,godie-osam,殺生丸,0.0386,acceptable,
godie-e00w,櫻綻剎那,godie-n01c,勇者小呆,0.0386,acceptable,
b2-kumoko,蜘蛛子,b2-popp,何布,0.0385,acceptable,
community-review-04-20260907,空條承太郎,godie-n01c,勇者小呆,0.0385,acceptable,
b2-matthias,馬提亞斯,community-review-19-20260907,桐谷和人,0.0384,acceptable,
b2-zenitsu,我妻善逸,godie-hapm,Berserker,0.0384,acceptable,
godie-e008,夏娜,godie-u00k,死之王,0.0384,acceptable,
community-review-02-20260907,八神庵,godie-hapm,Berserker,0.0382,acceptable,
b2-takopi,章魚嗶,community-review-23-20260907,坂田銀時,0.0381,acceptable,
community-review-08-20260907,米卡莎,godie-h02k,熊貓,0.0380,acceptable,
community-review-16-20260907,魔法少女☆伊莉雅,godie-hapm,Berserker,0.0380,acceptable,
godie-e008,夏娜,godie-h01u,呂布奉先,0.0379,acceptable,
community-review-15-20260907,比利海靈頓,community-review-16-20260907,魔法少女☆伊莉雅,0.0378,acceptable,
community-review-15-20260907,比利海靈頓,godie-h01u,呂布奉先,0.0376,acceptable,
godie-h02r,妙蛙花,godie-hapm,Berserker,0.0376,acceptable,
godie-hapm,Berserker,godie-o00l,傑洛士,0.0376,acceptable,
godie-e008,夏娜,godie-efur,揍敵客大家長－揍敵客桀諾,0.0375,acceptable,
godie-hvsh,Rider,godie-u00n,蒙其.D.魯夫,0.0375,acceptable,
godie-hvsh,Rider,godie-ogld,黑人牙膏,0.0372,acceptable,
b2-maple,梅普露,community-review-23-20260907,坂田銀時,0.0371,acceptable,
community-review-25-20260907,一拳超人,godie-e008,夏娜,0.0371,acceptable,
community-review-37-20260907,吉伊卡哇,godie-u00k,死之王,0.0371,acceptable,
community-review-14-20260907,殺老師,community-review-20-20260907,御坂美琴,0.0370,acceptable,
community-review-19-20260907,桐谷和人,godie-hapm,Berserker,0.0370,acceptable,
godie-etyr,木乃香,godie-zombiex,聖杯黑泥醬－喪標麥可,0.0369,acceptable,
godie-n003,依文潔琳,godie-u010,飛影,0.0369,acceptable,
community-review-25-20260907,一拳超人,godie-hapm,Berserker,0.0368,acceptable,
community-review-15-20260907,比利海靈頓,godie-hart,克勞德,0.0365,acceptable,
godie-e00w,櫻綻剎那,godie-u010,飛影,0.0365,acceptable,
community-review-22-20260907,菜月昴,community-review-34-20260907,高速婆婆,0.0364,acceptable,
godie-e007,天地志狼,godie-h02r,妙蛙花,0.0364,acceptable,
godie-hvwd,桔梗,godie-o00k,皮卡娘,0.0364,acceptable,
b2-elma,艾爾瑪,b2-touka,托卡・史考特,0.0363,acceptable,
community-review-23-20260907,坂田銀時,godie-u010,飛影,0.0363,acceptable,
godie-h00l,林克,godie-ubal,巴恩大魔王,0.0362,acceptable,
b2-matthias,馬提亞斯,godie-orkn,臭作,0.0361,acceptable,
godie-h02u,草泥馬,godie-hpal,藤井八雲,0.0361,acceptable,
community-review-02-20260907,八神庵,godie-e00k,安云,0.0360,acceptable,
community-review-25-20260907,一拳超人,godie-h02k,熊貓,0.0360,acceptable,
godie-h01n,黑崎一護,godie-o02p,初音,0.0360,acceptable,
godie-o02p,初音,godie-udea,飛鼠先生,0.0360,acceptable,
b2-popp,何布,community-review-03-20260907,不知火舞,0.0359,acceptable,
godie-h020,莉娜因巴斯,godie-hvsh,Rider,0.0359,acceptable,
b2-rem,蕾姆,b2-takopi,章魚嗶,0.0358,acceptable,
godie-hpal,藤井八雲,godie-n01c,勇者小呆,0.0358,acceptable,
b2-maple,梅普露,godie-hart,克勞德,0.0357,acceptable,
godie-h02r,妙蛙花,godie-o00x,悟空,0.0357,acceptable,
community-review-34-20260907,高速婆婆,godie-orkn,臭作,0.0356,acceptable,
b2-elma,艾爾瑪,community-review-17-20260907,安茲·烏爾·恭,0.0354,acceptable,
b2-orphen,歐菲,godie-h02k,熊貓,0.0354,acceptable,
community-review-03-20260907,不知火舞,godie-hapm,Berserker,0.0353,acceptable,
godie-edem,宇智波佐助,godie-ofar,皮卡丘,0.0353,acceptable,
b2-bojji,波吉,godie-emfr,涅吉,0.0352,acceptable,
godie-e008,夏娜,godie-o02p,初音,0.0352,acceptable,
b2-kumoko,蜘蛛子,b2-orphen,歐菲,0.0351,acceptable,
b2-nube,鵺野鳴介,godie-hvwd,桔梗,0.0349,acceptable,
godie-hpal,藤井八雲,godie-n00b,哆拉A夢,0.0349,acceptable,
b2-luckyman,幸運超人,b2-rin,遠坂凜,0.0348,acceptable,
community-review-04-20260907,空條承太郎,godie-e00r,初號機,0.0348,acceptable,
godie-efur,揍敵客大家長－揍敵客桀諾,godie-osam,殺生丸,0.0348,acceptable,
b2-elma,艾爾瑪,godie-h020,莉娜因巴斯,0.0347,acceptable,
b2-elma,艾爾瑪,godie-u00n,蒙其.D.魯夫,0.0346,acceptable,
community-review-17-20260907,安茲·烏爾·恭,godie-e00r,初號機,0.0346,acceptable,
community-review-05-20260907,洛克人,godie-efur,揍敵客大家長－揍敵客桀諾,0.0345,acceptable,
b2-orphen,歐菲,community-review-37-20260907,吉伊卡哇,0.0344,acceptable,
godie-h01u,呂布奉先,godie-h02k,熊貓,0.0344,acceptable,
b2-matthias,馬提亞斯,godie-zombiex,聖杯黑泥醬－喪標麥可,0.0342,acceptable,
b2-uncle,異世界舅舅,godie-hvwd,桔梗,0.0342,acceptable,
community-review-02-20260907,八神庵,godie-e00w,櫻綻剎那,0.0341,acceptable,
community-review-23-20260907,坂田銀時,godie-e00r,初號機,0.0341,acceptable,
community-review-17-20260907,安茲·烏爾·恭,godie-nplh,麻倉葉,0.0340,acceptable,
b2-goblin,哥布林殺手,community-review-16-20260907,魔法少女☆伊莉雅,0.0339,acceptable,
community-review-33-20260907,近衛刀太,godie-hblm,慈悲的王者－賈修貝爾,0.0339,acceptable,
b2-nube,鵺野鳴介,community-review-12-20260907,衛宮士郎,0.0338,acceptable,
b2-popp,何布,godie-emns,夜神月,0.0338,acceptable,
b2-takopi,章魚嗶,godie-n00p,南野秀一,0.0338,acceptable,
godie-nplh,麻倉葉,godie-u00l,拳四郎,0.0336,acceptable,
b2-matthias,馬提亞斯,godie-hpb1,蒼月潮,0.0334,acceptable,
community-review-05-20260907,洛克人,godie-hpb1,蒼月潮,0.0334,acceptable,
godie-h02u,草泥馬,godie-o00x,悟空,0.0334,acceptable,
community-review-17-20260907,安茲·烏爾·恭,godie-e008,夏娜,0.0333,acceptable,
godie-h02r,妙蛙花,godie-u00n,蒙其.D.魯夫,0.0333,acceptable,
b2-orphen,歐菲,godie-n003,依文潔琳,0.0331,acceptable,
community-review-13-20260907,朝田詩乃,godie-o00k,皮卡娘,0.0331,acceptable,
community-review-02-20260907,八神庵,godie-n00p,南野秀一,0.0328,acceptable,
godie-hvwd,桔梗,godie-n01c,勇者小呆,0.0328,acceptable,
godie-n00p,南野秀一,godie-o02p,初音,0.0328,acceptable,
b2-popp,何布,community-review-27-20260907,庫洛魔法使,0.0327,acceptable,
community-review-19-20260907,桐谷和人,community-review-33-20260907,近衛刀太,0.0327,acceptable,
godie-e001,龍宮禮奈,godie-ogld,黑人牙膏,0.0327,acceptable,
godie-u00k,死之王,godie-ubal,巴恩大魔王,0.0327,acceptable,
b2-popp,何布,community-review-16-20260907,魔法少女☆伊莉雅,0.0326,acceptable,
godie-edem,宇智波佐助,godie-h02r,妙蛙花,0.0326,acceptable,
b2-kumoko,蜘蛛子,godie-ogld,黑人牙膏,0.0324,acceptable,
godie-e007,天地志狼,godie-e008,夏娜,0.0324,acceptable,
b2-zenitsu,我妻善逸,godie-u00k,死之王,0.0322,acceptable,
b2-elma,艾爾瑪,godie-ubal,巴恩大魔王,0.0321,acceptable,
godie-e008,夏娜,godie-h00l,林克,0.0321,acceptable,
b2-kumoko,蜘蛛子,godie-u00l,拳四郎,0.0320,acceptable,
b2-takopi,章魚嗶,community-review-20-20260907,御坂美琴,0.0320,acceptable,
godie-etyr,木乃香,godie-u00k,死之王,0.0320,acceptable,
community-review-27-20260907,庫洛魔法使,godie-efur,揍敵客大家長－揍敵客桀諾,0.0319,acceptable,
b2-maple,梅普露,community-review-02-20260907,八神庵,0.0318,acceptable,
b2-rem,蕾姆,community-review-15-20260907,比利海靈頓,0.0316,acceptable,
b2-zenitsu,我妻善逸,godie-emns,夜神月,0.0316,acceptable,
community-review-04-20260907,空條承太郎,godie-e007,天地志狼,0.0315,acceptable,
b2-rem,蕾姆,godie-e00w,櫻綻剎那,0.0314,acceptable,
godie-e007,天地志狼,godie-h020,莉娜因巴斯,0.0313,acceptable,
godie-e007,天地志狼,godie-h02u,草泥馬,0.0313,acceptable,
godie-h020,莉娜因巴斯,godie-orkn,臭作,0.0312,acceptable,
b2-bojji,波吉,godie-u010,飛影,0.0311,acceptable,
godie-n00b,哆拉A夢,godie-ofar,皮卡丘,0.0311,acceptable,
b2-sinbad,辛巴達,godie-u00k,死之王,0.0310,acceptable,
community-review-04-20260907,空條承太郎,godie-etyr,木乃香,0.0310,acceptable,
community-review-18-20260907,吉爾伽美什,godie-h02r,妙蛙花,0.0309,acceptable,
community-review-20-20260907,御坂美琴,godie-emns,夜神月,0.0309,acceptable,
b2-nube,鵺野鳴介,godie-e007,天地志狼,0.0308,acceptable,
community-review-04-20260907,空條承太郎,godie-o02p,初音,0.0306,acceptable,
godie-ofar,皮卡丘,godie-ubal,巴恩大魔王,0.0305,acceptable,
godie-e002,Saber,godie-huth,魔人普烏,0.0304,acceptable,
community-review-13-20260907,朝田詩乃,godie-h02u,草泥馬,0.0303,acceptable,
godie-hvsh,Rider,godie-zombiex,聖杯黑泥醬－喪標麥可,0.0303,acceptable,
godie-o02p,初音,godie-ofar,皮卡丘,0.0303,acceptable,
community-review-01-20260907,武藤遊戲,godie-ofar,皮卡丘,0.0302,acceptable,
b2-elma,艾爾瑪,community-review-37-20260907,吉伊卡哇,0.0301,acceptable,
godie-e00w,櫻綻剎那,godie-o00x,悟空,0.0301,acceptable,
b2-elma,艾爾瑪,b2-maple,梅普露,0.0299,acceptable,
godie-h01n,黑崎一護,godie-h02k,熊貓,0.0298,acceptable,
godie-h02u,草泥馬,godie-u00n,蒙其.D.魯夫,0.0297,acceptable,
community-review-08-20260907,米卡莎,godie-h02r,妙蛙花,0.0295,acceptable,
community-review-19-20260907,桐谷和人,community-review-34-20260907,高速婆婆,0.0294,acceptable,
b2-bojji,波吉,godie-e001,龍宮禮奈,0.0293,acceptable,
b2-luckyman,幸運超人,godie-h02r,妙蛙花,0.0293,acceptable,
community-review-14-20260907,殺老師,godie-h02k,熊貓,0.0293,acceptable,
community-review-15-20260907,比利海靈頓,godie-huth,魔人普烏,0.0293,acceptable,
community-review-19-20260907,桐谷和人,godie-h02k,熊貓,0.0293,acceptable,
godie-h02u,草泥馬,godie-huth,魔人普烏,0.0293,acceptable,
godie-h02r,妙蛙花,godie-n00b,哆拉A夢,0.0291,acceptable,
godie-hvsh,Rider,godie-ofar,皮卡丘,0.0291,acceptable,
godie-nplh,麻倉葉,godie-ofar,皮卡丘,0.0291,acceptable,
community-review-34-20260907,高速婆婆,godie-hapm,Berserker,0.0290,acceptable,
community-review-24-20260907,奇犽,community-review-34-20260907,高速婆婆,0.0284,acceptable,
godie-e00k,安云,godie-hapm,Berserker,0.0284,acceptable,
godie-efur,揍敵客大家長－揍敵客桀諾,godie-ofar,皮卡丘,0.0283,acceptable,
b2-rin,遠坂凜,godie-hvsh,Rider,0.0282,acceptable,
community-review-34-20260907,高速婆婆,godie-e002,Saber,0.0281,acceptable,
godie-hart,克勞德,godie-o00x,悟空,0.0281,acceptable,
godie-ofar,皮卡丘,godie-u01u,索隆,0.0281,acceptable,
community-review-23-20260907,坂田銀時,community-review-27-20260907,庫洛魔法使,0.0280,acceptable,
b2-rin,遠坂凜,godie-u00l,拳四郎,0.0279,acceptable,
community-review-02-20260907,八神庵,godie-efur,揍敵客大家長－揍敵客桀諾,0.0279,acceptable,
community-review-23-20260907,坂田銀時,godie-e002,Saber,0.0279,acceptable,
godie-ofar,皮卡丘,godie-u00j,賽菲洛斯,0.0279,acceptable,
b2-bojji,波吉,godie-udea,飛鼠先生,0.0276,acceptable,
b2-goblin,哥布林殺手,godie-n003,依文潔琳,0.0276,acceptable,
b2-kumoko,蜘蛛子,godie-hart,克勞德,0.0275,acceptable,
community-review-01-20260907,武藤遊戲,community-review-05-20260907,洛克人,0.0275,acceptable,
godie-edem,宇智波佐助,godie-hvwd,桔梗,0.0275,acceptable,
b2-maple,梅普露,community-review-15-20260907,比利海靈頓,0.0274,acceptable,
b2-matthias,馬提亞斯,godie-e00w,櫻綻剎那,0.0274,acceptable,
b2-sinbad,辛巴達,community-review-24-20260907,奇犽,0.0273,acceptable,
godie-emns,夜神月,godie-n003,依文潔琳,0.0273,acceptable,
b2-rin,遠坂凜,community-review-23-20260907,坂田銀時,0.0272,acceptable,
b2-goblin,哥布林殺手,b2-rem,蕾姆,0.0271,acceptable,
community-review-33-20260907,近衛刀太,godie-edem,宇智波佐助,0.0270,acceptable,
godie-e00k,安云,godie-h01u,呂布奉先,0.0270,acceptable,
b2-rem,蕾姆,godie-emns,夜神月,0.0269,acceptable,
b2-rin,遠坂凜,godie-u00j,賽菲洛斯,0.0269,acceptable,
godie-e00w,櫻綻剎那,godie-edem,宇智波佐助,0.0269,acceptable,
b2-elma,艾爾瑪,community-review-08-20260907,米卡莎,0.0268,acceptable,
b2-guts,凱茲,godie-ogld,黑人牙膏,0.0268,acceptable,
community-review-05-20260907,洛克人,godie-hpal,藤井八雲,0.0268,acceptable,
godie-e001,龍宮禮奈,godie-edem,宇智波佐助,0.0268,acceptable,
b2-orphen,歐菲,community-review-16-20260907,魔法少女☆伊莉雅,0.0267,acceptable,
godie-h02u,草泥馬,godie-o00k,皮卡娘,0.0267,acceptable,
godie-orkn,臭作,godie-u00k,死之王,0.0267,acceptable,
godie-emns,夜神月,godie-nplh,麻倉葉,0.0266,acceptable,
godie-e00w,櫻綻剎那,godie-emns,夜神月,0.0265,acceptable,
community-review-17-20260907,安茲·烏爾·恭,community-review-33-20260907,近衛刀太,0.0264,acceptable,
godie-h02r,妙蛙花,godie-u00j,賽菲洛斯,0.0264,acceptable,
b2-popp,何布,godie-ubal,巴恩大魔王,0.0263,acceptable,
b2-rem,蕾姆,godie-e00r,初號機,0.0262,acceptable,
community-review-04-20260907,空條承太郎,community-review-05-20260907,洛克人,0.0261,acceptable,
godie-e007,天地志狼,godie-u00k,死之王,0.0261,acceptable,
godie-n01c,勇者小呆,godie-ubal,巴恩大魔王,0.0260,acceptable,
godie-e001,龍宮禮奈,godie-u00l,拳四郎,0.0259,acceptable,
godie-ofar,皮卡丘,godie-u00l,拳四郎,0.0258,acceptable,
b2-sinbad,辛巴達,godie-h020,莉娜因巴斯,0.0257,acceptable,
community-review-22-20260907,菜月昴,godie-o02p,初音,0.0256,acceptable,
godie-emns,夜神月,godie-hvsh,Rider,0.0256,acceptable,
godie-hblm,慈悲的王者－賈修貝爾,godie-u00v,基廉列克,0.0255,acceptable,
godie-ogld,黑人牙膏,godie-u00l,拳四郎,0.0254,acceptable,
community-review-14-20260907,殺老師,godie-o02p,初音,0.0253,acceptable,
